action,confidence,reason,duplicate_id,duplicate_uuid,duplicate_manufacturer,duplicate_model,canonical_id,canonical_uuid,canonical_manufacturer,canonical_model,equipment_type
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),679,a69ed148-3d71-49de-a51f-fded7adfb61f,BYD,Battery-BOX H 5.0,357,a527fc65-0800-4e04-97f5-c00f563dd124,BYD,Battery-BOX H 5.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18831,e7075dc3-35ef-4b9e-bcab-5008955c92fd,BYD,Battery-BOX H 5.0,357,a527fc65-0800-4e04-97f5-c00f563dd124,BYD,Battery-BOX H 5.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18842,e84b852d-c02c-468a-b218-a7768dc65853,BYD,Battery-BOX H 5.0,357,a527fc65-0800-4e04-97f5-c00f563dd124,BYD,Battery-BOX H 5.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),674,d2e93739-f844-477e-858c-76d70f27ea36,Alpha ESS,SMILE-BAT-8.2PHA,358,008a8fcc-b49c-4b3b-9aab-73cc56f4da9f,Alpha ESS,SMILE-BAT-8.2PHA,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18829,6da2278a-29d7-4a64-bce3-e72610171e54,Alpha ESS,SMILE-BAT-8.2PHA,358,008a8fcc-b49c-4b3b-9aab-73cc56f4da9f,Alpha ESS,SMILE-BAT-8.2PHA,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),676,8de523ad-9eb3-4850-b20a-ff4c2ffd4c37,ARK Battery,16IFR51.2-100-Y,359,2263380f-4881-4608-a2bb-ffa36d66f8f1,ARK Battery,16IFR51.2-100-Y,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18828,961e5759-8d32-4058-8935-05a357397726,ARK Battery,16IFR51.2-100-Y,359,2263380f-4881-4608-a2bb-ffa36d66f8f1,ARK Battery,16IFR51.2-100-Y,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),678,4749b698-ae75-4601-bccd-fcc943ae1ff3,BYD,Battery-BOX H 10.0,360,8649e13d-ff71-4ea9-9a2e-d6461391955b,BYD,Battery-BOX H 10.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18830,e9e334af-65f4-4770-8747-00ef1394ff10,BYD,Battery-BOX H 10.0,360,8649e13d-ff71-4ea9-9a2e-d6461391955b,BYD,Battery-BOX H 10.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18837,ab46079b-4c02-4696-81ca-25c93ce61ebd,BYD,Battery-BOX H 10.0,360,8649e13d-ff71-4ea9-9a2e-d6461391955b,BYD,Battery-BOX H 10.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),677,1895faa4-8ef4-46c4-b46a-8414ca020e84,BYD,Battery-BOX H 7.5,361,b38ab620-3b63-4685-b162-cbbaf18c549c,BYD,Battery-BOX H 7.5,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18834,672bfc6f-3e53-4ea5-8a78-aae0003afd0a,BYD,Battery-BOX H 7.5,361,b38ab620-3b63-4685-b162-cbbaf18c549c,BYD,Battery-BOX H 7.5,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18840,ba78da1d-d25b-45d3-b1d9-4249b464556a,BYD,Battery-BOX H 7.5,361,b38ab620-3b63-4685-b162-cbbaf18c549c,BYD,Battery-BOX H 7.5,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),680,019b09ba-3bde-420d-9498-db3c56d26594,BYD,BCO274-C15H1000V-U-R1M00,362,827e1274-c397-49d3-881b-950429bc5bd3,BYD,BCO274-C15H1000V-U-R1M00,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18835,3a31375d-2f3c-4ca8-99bc-cf4e6fc8f86e,BYD,BCO274-C15H1000V-U-R1M00,362,827e1274-c397-49d3-881b-950429bc5bd3,BYD,BCO274-C15H1000V-U-R1M00,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),681,896c64e4-aa6a-44c8-bdbf-486eb2823131,BYD,BCO274-C15H1000V-U-R1M01,363,df43ab33-f2cf-4665-8048-6360542e240d,BYD,BCO274-C15H1000V-U-R1M01,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18832,22e6ddf0-54db-4bc8-afe9-102d20ff41d0,BYD,BCO274-C15H1000V-U-R1M01,363,df43ab33-f2cf-4665-8048-6360542e240d,BYD,BCO274-C15H1000V-U-R1M01,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),683,e4f6880c-2370-4f89-a38e-043623d475c8,BYD,BCO274-C15H1000V-U-R1M02,364,a9615564-9e68-4445-bfcd-31a9dc04ff93,BYD,BCO274-C15H1000V-U-R1M02,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18833,87253ebb-423b-4cb1-883c-dca0f6a74c9f,BYD,BCO274-C15H1000V-U-R1M02,364,a9615564-9e68-4445-bfcd-31a9dc04ff93,BYD,BCO274-C15H1000V-U-R1M02,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),684,22d3d99e-1421-441e-9d35-15371dc5c3d7,BYD,BCO274-C15H1000V-U-R2M00,365,0e85c222-6c91-4e04-b7de-1579cec33b33,BYD,BCO274-C15H1000V-U-R2M00,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18836,2c352b03-dc12-4c95-aa65-4d54711d89d8,BYD,BCO274-C15H1000V-U-R2M00,365,0e85c222-6c91-4e04-b7de-1579cec33b33,BYD,BCO274-C15H1000V-U-R2M00,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),688,e8b92c84-2475-44b9-a91e-60f0a189b8d7,BYD,HVL 12.0,366,c6348739-60fc-4384-b540-5d57119e8535,BYD,HVL 12.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18843,7ff9f631-3b7b-4db5-b607-0a7ac02f38c1,BYD,HVL 12.0,366,c6348739-60fc-4384-b540-5d57119e8535,BYD,HVL 12.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),682,7812c6cb-1d1d-422b-966d-e575444d4fa5,BYD,BCO274-C15H1000V-U-R2M0,367,ba95eabb-be52-453e-bc17-7a10bcdc9968,BYD,BCO274-C15H1000V-U-R2M0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18839,5d801686-f584-43d5-8f1e-4d8789320332,BYD,BCO274-C15H1000V-U-R2M0,367,ba95eabb-be52-453e-bc17-7a10bcdc9968,BYD,BCO274-C15H1000V-U-R2M0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),686,047a4901-fa28-4beb-821c-376b80983c2c,BYD,BCO274-C15H1000V-U-R2M01,368,c4da9e49-dc5e-4baf-8894-f8b54638937e,BYD,BCO274-C15H1000V-U-R2M01,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18838,af45cb98-d27b-4a88-b99d-abdcfdd9d2cb,BYD,BCO274-C15H1000V-U-R2M01,368,c4da9e49-dc5e-4baf-8894-f8b54638937e,BYD,BCO274-C15H1000V-U-R2M01,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),685,6b74cf60-415a-4a87-9f00-b5da564c3aa0,BYD,HVL 16.0,369,65529073-65ee-4cb4-bbc4-23d50752da36,BYD,HVL 16.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18841,2830dcf1-9d33-4a2c-9d82-a8cde985444f,BYD,HVL 16.0,369,65529073-65ee-4cb4-bbc4-23d50752da36,BYD,HVL 16.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),687,71382e2f-d528-49bb-99e3-dd272be36085,BYD,HVL 20.0,370,841e8a0a-5ff7-46bf-ad8f-5722b27c625a,BYD,HVL 20.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18844,9e0dac00-026f-41d0-b800-6b2563cb24f2,BYD,HVL 20.0,370,841e8a0a-5ff7-46bf-ad8f-5722b27c625a,BYD,HVL 20.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),689,035ee2c0-01bf-42a3-a410-12b441fc7eac,BYD,HVL 24.0,371,3d0d002b-8665-4514-a5a7-9616d13508be,BYD,HVL 24.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18845,32b86e06-1100-454f-9afe-3e6a5fca6abe,BYD,HVL 24.0,371,3d0d002b-8665-4514-a5a7-9616d13508be,BYD,HVL 24.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),692,d04d0646-1993-4bdb-8604-5ba9c3ce4ab6,BYD,HVL 28.0,372,4aa8a26e-abcd-477b-8c81-96ee2dfd4544,BYD,HVL 28.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18846,54064e91-d78a-459f-8d95-8bbf9ee4f22d,BYD,HVL 28.0,372,4aa8a26e-abcd-477b-8c81-96ee2dfd4544,BYD,HVL 28.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),690,dde20308-6722-4f48-ac72-7eaef8e9b146,BYD,HVL 32.0,373,c5c4cd30-ae14-478c-b9d1-7671dc2f44e5,BYD,HVL 32.0,Battery
DELETE,100.0,Exact duplicate (identical normalized manufacturer + model),18847,f024f020-9d2b-4915-b154-13caeac09625,BYD,HVL 32.0,373,c5c4cd30-ae14-478c-b9d1-7671dc2f44e5,BYD,HVL 32.0,Battery
