id,uuid,equipment_type,current_manufacturer,new_manufacturer,model
1,64b3e25c-8c78-410e-8f0c-70dae2e6c63e,MicroInverter,AP System,APSYSTEMS,DS3-H
2,6d1090a1-63b1-4a5f-8588-abbd9d11ca9e,MicroInverter,AP System,APSYSTEMS,DS3-L
3,4c2ec038-34ac-4d1d-93d6-257f8ed2140d,MicroInverter,AP System,APSYSTEMS,DS3-S
4,46c066c7-f86c-45c3-af28-17ce7e8eb6de,MicroInverter,AP System,APSYSTEMS,DS3
5,2010d301-3bab-4648-b07a-3cf5c9e8ea0b,MicroInverter,AP System,APSYSTEMS,YC600
6,daa4ed0e-3560-42c3-bc8a-57c6cea583a1,MicroInverter,AP System,APSYSTEMS,QS1200
7,128a2930-2317-470a-a2f4-bf94dd4c9f3a,MicroInverter,AP System,APSYSTEMS,QS1
8,f1941c9e-166e-407b-8c32-7429641ab100,MicroInverter,AP System,APSYSTEMS,QS1A
197,330a5f7d-28e9-482c-9708-bc03f61c1d3a,MicroInverter,LG Electronics,LG,LG320E1K-A5
198,cd015035-3281-4764-a472-0e7de92e0a40,MicroInverter,LG Electronics,LG,LG315E1K-A5
199,7f41642f-ea1f-4aac-899c-95682f3706b2,MicroInverter,LG Electronics,LG,LG325E1K-A5
200,7f1bd7a9-55a6-4842-9a13-b7a9a74ed778,MicroInverter,LG Electronics,LG,LG325E1C-A5
201,39b8e292-5164-43e6-83f1-f0e1aed89627,MicroInverter,LG Electronics,LG,LG335E1C-A5
202,532cf602-7640-4955-9c6f-e065186432b2,MicroInverter,LG Electronics,LG,LG330E1C-A5
203,d5696380-9d7f-4bdf-979c-4f7aa5e2d92c,MicroInverter,LG Electronics,LG,LG345M1K-L5
204,40c89197-18c0-4e40-b3c2-dfbb28d93d6c,MicroInverter,LG Electronics,LG,LG340M1K-L5
205,9a8f6d59-2d6b-46c1-b876-eb98f908a855,MicroInverter,LG Electronics,LG,LG355M1K-A6
206,ced76993-4a92-4138-bd94-9a7b703ae5a7,MicroInverter,LG Electronics,LG,LG350M1K-L5
207,fd54f45b-4e5c-4f35-8518-997279b3357a,MicroInverter,LG Electronics,LG,LG355M1C-N5
208,ebfe0bae-2e14-47ce-811a-37ca4e03cc9a,MicroInverter,LG Electronics,LG,LG355A1C-A5
209,87a6d9fa-b92a-47a5-ac54-8ff5a08a7727,MicroInverter,LG Electronics,LG,LG360A1C-A5
210,5e4ed59b-4a8a-4ad9-9219-99dc79ee59b5,MicroInverter,LG Electronics,LG,LG360M1C-N5
211,57135dd0-7b1c-44ce-86b0-b97dcc1cd7b6,MicroInverter,LG Electronics,LG,LG360M1K-A6
212,e4a9be06-751d-4bf0-8b22-fb5b02f6f51d,MicroInverter,LG Electronics,LG,LG360A1K-V5
213,cd30f542-fb16-4d35-96c1-2ebac01208db,MicroInverter,LG Electronics,LG,LG365A1C-A5
214,f411c266-70e1-4f4a-a470-469d2ae691ce,MicroInverter,LG Electronics,LG,LG365A1K-V5
215,e5458a74-5d1b-4590-aa25-f13677d6a526,MicroInverter,LG Electronics,LG,LG365A1C-V5
216,8ed65689-c54c-4a0a-9f34-a99ff095dad1,MicroInverter,LG Electronics,LG,LG365M1C-N5
217,b7cebef5-3e68-4e7c-8334-33a8b83d4ec5,MicroInverter,LG Electronics,LG,LG370A1C-A5
218,add7cced-6a34-43fa-b669-3ffd11da1c17,MicroInverter,LG Electronics,LG,LG365M1K-A6
219,e79e8ca1-f9a2-423f-9f9f-709d8e4ddfc0,MicroInverter,LG Electronics,LG,LG370A1C-V5
220,d271a749-0de7-493b-bfe3-6658af3d6f06,MicroInverter,LG Electronics,LG,LG370M1C-N5
221,b775911c-b271-427f-8eeb-b0bf0b3d8ac8,MicroInverter,LG Electronics,LG,LG375A1C-V5
222,a75d0e21-823d-4b36-8ddd-f151a0111470,MicroInverter,LG Electronics,LG,LG370M1K-A6
223,4444418b-dc63-4e94-82e8-7cde5650507c,MicroInverter,LG Electronics,LG,LG375M1K-A6
224,9a92803b-8c1a-4d79-b974-a5aa20a3b16a,MicroInverter,LG Electronics,LG,LG375M1C-A6
225,28fc89a3-0012-4dc7-9490-ba213eaf6d0b,MicroInverter,LG Electronics,LG,LG385M1C-A6
226,aa3d9122-3cfe-489b-93e7-6eda56f524f6,MicroInverter,LG Electronics,LG,LG380M1K-A6
227,4a85ed9b-c533-45f4-8da7-068cefd7179b,MicroInverter,LG Electronics,LG,LG380M1C-A6
228,4b843300-b191-413a-8853-307dfb65191d,MicroInverter,LG Electronics,LG,LG380A1C-V5
229,9139f894-f015-4f0b-8ce6-4e7b835b5ce8,MicroInverter,LG Electronics,LG,LG405A1C-A6
230,7d4f5977-8019-4a2a-8c06-5922315c86ac,MicroInverter,LG Electronics,LG,LG400A1C-A6
231,83f6be5c-5338-4e42-845f-a802430b56e9,MicroInverter,LG Electronics,LG,LG395A1C-A6
232,5450ca08-c078-41b7-ae7a-32343dd4b4b3,MicroInverter,LG Electronics,LG,LM320UE-A2
657,d6a8a625-0abd-4ed1-a940-4ea14462409a,Inverter,Trina,TRINA SOLAR,TB8000SHU
658,8f3bf13f-28be-46be-902f-b2423508904b,Inverter,Trina,TRINA SOLAR,TB6000SHU
5688,c934fbfe-8f13-4156-abab-35c0f062fb46,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.1.G 330
5689,78b4e0e8-be62-436e-83a0-f4dd61e0582b,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.2.G 330
5690,0a5525ad-1193-429d-a078-d1498eb3b05f,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.1.G 345
5691,ca595365-87bc-493f-83fb-d4bc87868289,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.1.G 335
5692,884fddd9-95ee-43ef-b817-1bf86a78a20d,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.1.G 340
5693,70941fc9-69a3-442b-90c9-6f8affbe3dec,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.2.G 340
5695,cd8f6e9f-f475-447b-b55f-b75a9a0b6364,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.2.G 335
5696,4ca13467-3f3a-40b6-8ad3-06a7eec61859,Solar Panel,"Hanwha Q CELLS (Qidong) Co., Ltd.",HANWHA Q CELLS (QIDONG) CO LTD,Q.PRIME L-G5.2.G 345
8947,006f9709-fe1a-493e-a518-948491d0c2c7,Solar Panel,LG Electronics,LG,LG210P1C-G2
8948,821706e1-c182-4831-b6f2-dfdf64418ae4,Solar Panel,LG Electronics,LG,LG210P1W-G1
8949,245a741f-02ae-4871-b7a6-eebfffa3a305,Solar Panel,LG Electronics,LG,LG220M1C-G2
8950,3e7397eb-3cf0-4dd9-8524-77eedde0f3d8,Solar Panel,LG Electronics,LG,LG215P1W-G1
8951,1cd49ad2-886d-42fa-9c1f-8eb98af8d72e,Solar Panel,LG Electronics,LG,LG215P1C-G2
8952,a459ef53-d16f-4060-95aa-0b20ac4d8688,Solar Panel,LG Electronics,LG,LG215P1W
8953,d0f8fbf6-86a1-40e4-ae42-5e7ff0a9db38,Solar Panel,LG Electronics,LG,LG220P1C-G2
8954,c021ba7e-e81c-4c62-bc32-a6c8f49e3523,Solar Panel,LG Electronics,LG,LG220P1W
8955,cdc42f14-cec0-4f11-88dd-65bace955532,Solar Panel,LG Electronics,LG,LG220R1C-G2
8956,ecbf7393-a4dc-465f-b772-e01759295eab,Solar Panel,LG Electronics,LG,LG220P1W-G1
8957,775ca5e0-3b2d-4717-9108-d57f2c5280e8,Solar Panel,LG Electronics,LG,LG225M1C-G2
8958,33fd7a83-c28d-4822-a0cd-d5297fcb44e4,Solar Panel,LG Electronics,LG,LG220R1W-G2
8959,c2130bad-f972-4c7c-9303-f99abfa93dd6,Solar Panel,LG Electronics,LG,LG225P1W
8960,54b8952f-053a-4264-a233-5b8404c73bdf,Solar Panel,LG Electronics,LG,LG225P1C-G2
8961,2e89efbf-84ee-4ee6-8db0-b782310a6ac7,Solar Panel,LG Electronics,LG,LG225P1W-G1
8962,40e46b9b-b69a-4719-ba9a-975d6c197a04,Solar Panel,LG Electronics,LG,LG230M1C-G2
8963,c9bd876e-6a56-443c-9652-9f8cf18306cc,Solar Panel,LG Electronics,LG,LG225R1C-G2
8964,f39ac621-0556-4561-b432-a1e14f9e7e65,Solar Panel,LG Electronics,LG,LG225R1W-G2
8965,ab494492-3a95-41ee-b6b4-1bc205e595c5,Solar Panel,LG Electronics,LG,LG230P1W-G1
8966,dfc8e329-5b58-4ed2-a438-cc723871c029,Solar Panel,LG Electronics,LG,LG230P1W
8967,7104677b-1679-4a40-9275-6e690e141626,Solar Panel,LG Electronics,LG,LG230N8K-G4
8968,0f5fff7f-30c8-4d4d-a270-34add6933978,Solar Panel,LG Electronics,LG,LG230P1C-G2
8969,12fd43dd-17b9-47f0-934f-e84487d65389,Solar Panel,LG Electronics,LG,LG230R1W-G2
8970,5eb10681-3b64-4299-8bd7-dcf20198c494,Solar Panel,LG Electronics,LG,LG235N8K-G4
8971,51f6eb7f-b479-4250-9e69-cb36798d4f25,Solar Panel,LG Electronics,LG,LG230R1C-G2
8972,27bf838b-c184-47ac-bce7-d769d7e60c03,Solar Panel,LG Electronics,LG,LG235M1C-G2
8973,c1d06b7c-7fbc-4da4-af65-2b749da16012,Solar Panel,LG Electronics,LG,LG240M1C-G2
