"table_name"	"column_name"	"data_type"	"character_maximum_length"	"numeric_precision"	"is_nullable"	"column_default"	"ordinal_position"
"project_system_details"	"id"	"bigint"		64	"NO"	"nextval('project_system_details_id_seq'::regclass)"	1
"project_system_details"	"uuid"	"uuid"			"NO"	"gen_random_uuid()"	2
"project_system_details"	"project_id"	"uuid"			"NO"		3
"project_system_details"	"deleted_at"	"timestamp with time zone"			"YES"		5
"project_system_details"	"created_at"	"timestamp with time zone"			"NO"	"now()"	6
"project_system_details"	"updated_at"	"timestamp with time zone"			"NO"	"now()"	7
"project_system_details"	"sys1_solar_panel_existing"	"boolean"			"YES"		8
"project_system_details"	"sys1_solar_panel_qty"	"integer"		32	"YES"		9
"project_system_details"	"sys1_solar_panel_make"	"text"			"YES"		10
"project_system_details"	"sys1_solar_panel_model"	"text"			"YES"		11
"project_system_details"	"sys1_solarpanel_id"	"uuid"			"YES"		12
"project_system_details"	"sys1_micro_inverter_existing"	"boolean"			"YES"		13
"project_system_details"	"sys1_micro_inverter_make"	"text"			"YES"		14
"project_system_details"	"sys1_micro_inverter_model"	"text"			"YES"		15
"project_system_details"	"sys1_micro_inverter_id"	"uuid"			"YES"		16
"project_system_details"	"sys1_micro_inverter_qty"	"integer"		32	"YES"		17
"project_system_details"	"sys1_combiner_existing"	"boolean"			"YES"		18
"project_system_details"	"sys1_combiner_panel_make"	"text"			"YES"		19
"project_system_details"	"sys1_combiner_panel_model"	"text"			"YES"		20
"project_system_details"	"sys1_combinerpanel_id"	"uuid"			"YES"		21
"project_system_details"	"sys1_optimizer_existing"	"boolean"			"YES"		22
"project_system_details"	"sys1_optimizer_make"	"text"			"YES"		23
"project_system_details"	"sys1_optimizer_model"	"text"			"YES"		24
"project_system_details"	"sys1_optimizer_id"	"uuid"			"YES"		25
"project_system_details"	"sys1_inv_max_continuous_output"	"text"			"YES"		26
"project_system_details"	"sys1_panel_count"	"integer"		32	"YES"		27
"project_system_details"	"sys1_branch_string_1"	"text"			"YES"		28
"project_system_details"	"sys1_branch_string_2"	"text"			"YES"		29
"project_system_details"	"sys1_branch_string_3"	"text"			"YES"		30
"project_system_details"	"sys1_branch_string_4"	"text"			"YES"		31
"project_system_details"	"sys1_branch_string_5"	"text"			"YES"		32
"project_system_details"	"sys1_branch_string_6"	"text"			"YES"		33
"project_system_details"	"sys1_branch_string_7"	"text"			"YES"		34
"project_system_details"	"sys1_branch_string_8"	"text"			"YES"		35
"project_system_details"	"sys1_branch_string_9"	"text"			"YES"		36
"project_system_details"	"sys1_branch_string_10"	"text"			"YES"		37
"project_system_details"	"sys1_count_validation"	"text"			"YES"		38
"project_system_details"	"sys1_backup_option"	"text"			"YES"		39
"project_system_details"	"sys1_ess_existing"	"boolean"			"YES"		40
"project_system_details"	"sys1_no_sms"	"boolean"			"YES"		41
"project_system_details"	"sys1_ess_make"	"text"			"YES"		42
"project_system_details"	"sys1_ess_model"	"text"			"YES"		43
"project_system_details"	"sys1_ess_id"	"uuid"			"YES"		44
"project_system_details"	"sys1_ess_main_breaker_rating"	"text"			"YES"		45
"project_system_details"	"sys1_ess_upstream_breaker_rating"	"text"			"YES"		46
"project_system_details"	"sys1_ess_upstream_breaker_location"	"text"			"YES"		47
"project_system_details"	"sys1_battery1_existing"	"boolean"			"YES"		48
"project_system_details"	"sys1_battery_1_qty"	"integer"		32	"YES"		49
"project_system_details"	"sys1_battery_1_make"	"text"			"YES"		50
"project_system_details"	"sys1_battery_1_model"	"text"			"YES"		51
"project_system_details"	"sys1_battery1_id"	"uuid"			"YES"		52
"project_system_details"	"sys1_battery2_existing"	"boolean"			"YES"		53
"project_system_details"	"sys1_battery_2_qty"	"integer"		32	"YES"		54
"project_system_details"	"sys1_battery_2_make"	"text"			"YES"		55
"project_system_details"	"sys1_battery_2_model"	"text"			"YES"		56
"project_system_details"	"sys1_battery2_id"	"uuid"			"YES"		57
"project_system_details"	"sys1_combination_method"	"text"			"YES"		58
"project_system_details"	"sys2_solarpanel_existing"	"boolean"			"YES"		59
"project_system_details"	"sys2_solar_panel_qty"	"integer"		32	"YES"		60
"project_system_details"	"sys2_solar_panel_make"	"text"			"YES"		61
"project_system_details"	"sys2_solar_panel_model"	"text"			"YES"		62
"project_system_details"	"sys2_solarpanel_id"	"uuid"			"YES"		63
"project_system_details"	"sys2_micro_inverter_existing"	"boolean"			"YES"		64
"project_system_details"	"sys2_micro_inverter_make"	"text"			"YES"		65
"project_system_details"	"sys2_micro_inverter_model"	"text"			"YES"		66
"project_system_details"	"sys2_micro_inverter_id"	"uuid"			"YES"		67
"project_system_details"	"sys2_micro_inverter_qty"	"integer"		32	"YES"		68
"project_system_details"	"sys2_combiner_existing"	"boolean"			"YES"		69
"project_system_details"	"sys2_combiner_panel_make"	"text"			"YES"		70
"project_system_details"	"sys2_combiner_panel_model"	"text"			"YES"		71
"project_system_details"	"sys2_combinerpanel_id"	"uuid"			"YES"		72
"project_system_details"	"sys2_optimizer_existing"	"boolean"			"YES"		73
"project_system_details"	"sys2_optimizer_make"	"text"			"YES"		74
"project_system_details"	"sys2_optimizer_model"	"text"			"YES"		75
"project_system_details"	"sys2_optimizer_id"	"uuid"			"YES"		76
"project_system_details"	"sys2_inv_max_continuous_output"	"text"			"YES"		77
"project_system_details"	"sys2_panel_count"	"integer"		32	"YES"		78
"project_system_details"	"sys2_branch_string_1"	"text"			"YES"		79
"project_system_details"	"sys2_branch_string_2"	"text"			"YES"		80
"project_system_details"	"sys2_branch_string_3"	"text"			"YES"		81
"project_system_details"	"sys2_branch_string_4"	"text"			"YES"		82
"project_system_details"	"sys2_branch_string_5"	"text"			"YES"		83
"project_system_details"	"sys2_branch_string_6"	"text"			"YES"		84
"project_system_details"	"sys2_branch_string_7"	"text"			"YES"		85
"project_system_details"	"sys2_branch_string_8"	"text"			"YES"		86
"project_system_details"	"sys2_branch_string_9"	"text"			"YES"		87
"project_system_details"	"sys2_branch_string_10"	"text"			"YES"		88
"project_system_details"	"sys2_count_validation"	"text"			"YES"		89
"project_system_details"	"sys2_backup_option"	"text"			"YES"		90
"project_system_details"	"sys2_ess_existing"	"boolean"			"YES"		91
"project_system_details"	"sys2_no_sms"	"boolean"			"YES"		92
"project_system_details"	"sys2_ess_make"	"text"			"YES"		93
"project_system_details"	"sys2_ess_model"	"text"			"YES"		94
"project_system_details"	"sys2_ess_id"	"uuid"			"YES"		95
"project_system_details"	"sys2_ess_main_breaker_rating"	"text"			"YES"		96
"project_system_details"	"sys2_ess_upstream_breaker_rating"	"text"			"YES"		97
"project_system_details"	"sys2_ess_upstream_breaker_location"	"text"			"YES"		98
"project_system_details"	"sys2_battery1_existing"	"boolean"			"YES"		99
"project_system_details"	"sys2_battery_1_qty"	"integer"		32	"YES"		100
"project_system_details"	"sys2_battery_1_make"	"text"			"YES"		101
"project_system_details"	"sys2_battery_1_model"	"text"			"YES"		102
"project_system_details"	"sys2_battery1_id"	"uuid"			"YES"		103
"project_system_details"	"sys2_battery2_existing"	"boolean"			"YES"		104
"project_system_details"	"sys2_battery_2_qty"	"integer"		32	"YES"		105
"project_system_details"	"sys2_battery_2_make"	"text"			"YES"		106
"project_system_details"	"sys2_battery_2_model"	"text"			"YES"		107
"project_system_details"	"sys2_battery2_id"	"uuid"			"YES"		108
"project_system_details"	"sys2_combination_method"	"text"			"YES"		109
"project_system_details"	"sys3_solar_panel_existing"	"boolean"			"YES"		110
"project_system_details"	"sys3_solar_panel_qty"	"integer"		32	"YES"		111
"project_system_details"	"sys3_solar_panel_make"	"text"			"YES"		112
"project_system_details"	"sys3_solar_panel_model"	"text"			"YES"		113
"project_system_details"	"sys3_solarpanel_id"	"uuid"			"YES"		114
"project_system_details"	"sys3_micro_inverter_existing"	"boolean"			"YES"		115
"project_system_details"	"sys3_micro_inverter_make"	"text"			"YES"		116
"project_system_details"	"sys3_micro_inverter_model"	"text"			"YES"		117
"project_system_details"	"sys3_micro_inverter_id"	"uuid"			"YES"		118
"project_system_details"	"sys3_micro_inverter_qty"	"integer"		32	"YES"		119
"project_system_details"	"sys3_combiner_existing"	"boolean"			"YES"		120
"project_system_details"	"sys3_combiner_panel_make"	"text"			"YES"		121
"project_system_details"	"sys3_combiner_panel_model"	"text"			"YES"		122
"project_system_details"	"sys3_combinerpanel_id"	"uuid"			"YES"		123
"project_system_details"	"sys3_optimizer_existing"	"boolean"			"YES"		124
"project_system_details"	"sys3_optimizer_make"	"text"			"YES"		125
"project_system_details"	"sys3_optimizer_model"	"text"			"YES"		126
"project_system_details"	"sys3_optimizer_id"	"uuid"			"YES"		127
"project_system_details"	"sys3_inv_max_continuous_output"	"text"			"YES"		128
"project_system_details"	"sys3_panel_count"	"integer"		32	"YES"		129
"project_system_details"	"sys3_branch_string_1"	"text"			"YES"		130
"project_system_details"	"sys3_branch_string_2"	"text"			"YES"		131
"project_system_details"	"sys3_branch_string_3"	"text"			"YES"		132
"project_system_details"	"sys3_branch_string_4"	"text"			"YES"		133
"project_system_details"	"sys3_branch_string_5"	"text"			"YES"		134
"project_system_details"	"sys3_branch_string_6"	"text"			"YES"		135
"project_system_details"	"sys3_branch_string_7"	"text"			"YES"		136
"project_system_details"	"sys3_branch_string_8"	"text"			"YES"		137
"project_system_details"	"sys3_branch_string_9"	"text"			"YES"		138
"project_system_details"	"sys3_branch_string_10"	"text"			"YES"		139
"project_system_details"	"sys3_count_validation"	"text"			"YES"		140
"project_system_details"	"sys3_backup_option"	"text"			"YES"		141
"project_system_details"	"sys3_ess_existing"	"boolean"			"YES"		142
"project_system_details"	"sys3_no_sms"	"boolean"			"YES"		143
"project_system_details"	"sys3_ess_make"	"text"			"YES"		144
"project_system_details"	"sys3_ess_model"	"text"			"YES"		145
"project_system_details"	"sys3_ess_id"	"uuid"			"YES"		146
"project_system_details"	"sys3_ess_main_breaker_rating"	"text"			"YES"		147
"project_system_details"	"sys3_ess_upstream_breaker_rating"	"text"			"YES"		148
"project_system_details"	"sys3_ess_upstream_breaker_location"	"text"			"YES"		149
"project_system_details"	"sys3_battery1_existing"	"boolean"			"YES"		150
"project_system_details"	"sys3_battery_1_qty"	"integer"		32	"YES"		151
"project_system_details"	"sys3_battery_1_make"	"text"			"YES"		152
"project_system_details"	"sys3_battery_1_model"	"text"			"YES"		153
"project_system_details"	"sys3_battery1_id"	"uuid"			"YES"		154
"project_system_details"	"sys3_battery2_existing"	"boolean"			"YES"		155
"project_system_details"	"sys3_battery_2_qty"	"integer"		32	"YES"		156
"project_system_details"	"sys3_battery_2_make"	"text"			"YES"		157
