"id","model","status","manufacturer","equipment_type","uuid","created_at","is_validated"
1,"DS3-H",NULL,"APSYSTEMS","MicroInverter","64b3e25c-8c78-410e-8f0c-70dae2e6c63e","2024-08-12 14:33:46.20281+00",False
2,"DS3-L",NULL,"APSYSTEMS","MicroInverter","6d1090a1-63b1-4a5f-8588-abbd9d11ca9e","2024-08-12 14:33:46.20281+00",False
3,"DS3-S",NULL,"APSYSTEMS","MicroInverter","4c2ec038-34ac-4d1d-93d6-257f8ed2140d","2024-08-12 14:33:46.20281+00",False
4,"DS3",NULL,"APSYSTEMS","MicroInverter","46c066c7-f86c-45c3-af28-17ce7e8eb6de","2024-08-12 14:33:46.20281+00",False
5,"YC600",NULL,"APSYSTEMS","MicroInverter","2010d301-3bab-4648-b07a-3cf5c9e8ea0b","2024-08-12 14:33:46.20281+00",False
6,"QS1200",NULL,"APSYSTEMS","MicroInverter","daa4ed0e-3560-42c3-bc8a-57c6cea583a1","2024-08-12 14:33:46.20281+00",False
7,"QS1",NULL,"APSYSTEMS","MicroInverter","128a2930-2317-470a-a2f4-bf94dd4c9f3a","2024-08-12 14:33:46.20281+00",False
8,"QS1A",NULL,"APSYSTEMS","MicroInverter","f1941c9e-166e-407b-8c32-7429641ab100","2024-08-12 14:33:46.20281+00",False
9,"MAC-400",NULL,"Aptos Solar","MicroInverter","80237719-43ee-4cf7-ab2d-bbe32318de98","2024-08-12 14:33:46.20281+00",False
10,"MAC-800",NULL,"Aptos Solar","MicroInverter","774b5cbb-e23b-4f79-bff7-d34929a7ec5e","2024-08-12 14:33:46.20281+00",False
11,"MAC-400R",NULL,"Aptos Solar","MicroInverter","8ad5fec7-2b94-4a1d-9455-4cd1c3d3a2c3","2024-08-12 14:33:46.20281+00",False
12,"MAC-800R",NULL,"Aptos Solar","MicroInverter","2e939e0a-2c76-45c1-aa48-29c441992056","2024-08-12 14:33:46.20281+00",False
13,"CP-250E-60/72-208/240-MC4",NULL,"Chilicon Power","MicroInverter","ce89fbd5-1eb3-4677-814b-fdca5a832237","2024-08-12 14:33:46.20281+00",False
14,"IQ6-60-2-US",NULL,"Enphase","MicroInverter","4da47768-7348-400b-8311-cb146a1624ef","2024-08-12 14:33:46.20281+00",False
15,"IQ6-60-5-US",NULL,"Enphase","MicroInverter","8cff2b79-0b8c-4260-8906-77e97c169612","2024-08-12 14:33:46.20281+00",False
16,"CP-720-60/72/96-208/240-MC4",NULL,"Chilicon Power","MicroInverter","a7106ab0-2c5b-46df-8299-2bfb4ca5fd16","2024-08-12 14:33:46.20281+00",False
17,"IQ6PLUS-72-5-US",NULL,"Enphase","MicroInverter","13c344e8-10ed-48cf-801a-024757e929ad","2024-08-12 14:33:46.20281+00",False
18,"IQ6-60-ACM-US",NULL,"Enphase","MicroInverter","e3bd4088-1bda-4b41-8233-8e2914c54a79","2024-08-12 14:33:46.20281+00",False
