"column_name","data_type","is_nullable","column_default"
"id","bigint","NO","nextval('project_system_details_id_seq'::regclass)"
"uuid","uuid","NO","gen_random_uuid()"
"project_id","uuid","NO",NULL
"deleted_at","timestamp with time zone","YES",NULL
"created_at","timestamp with time zone","NO","now()"
"updated_at","timestamp with time zone","NO","now()"
"sys1_solar_panel_existing","boolean","YES",NULL
"sys1_solar_panel_qty","integer","YES",NULL
"sys1_solar_panel_make","text","YES",NULL
"sys1_solar_panel_model","text","YES",NULL
"sys1_solarpanel_id","uuid","YES",NULL
"sys1_micro_inverter_existing","boolean","YES",NULL
"sys1_micro_inverter_make","text","YES",NULL
"sys1_micro_inverter_model","text","YES",NULL
"sys1_micro_inverter_id","uuid","YES",NULL
"sys1_micro_inverter_qty","integer","YES",NULL
"sys1_combiner_existing","boolean","YES",NULL
"sys1_combiner_panel_make","text","YES",NULL
"sys1_combiner_panel_model","text","YES",NULL
"sys1_combinerpanel_id","uuid","YES",NULL
"sys1_optimizer_existing","boolean","YES",NULL
"sys1_optimizer_make","text","YES",NULL
"sys1_optimizer_model","text","YES",NULL
"sys1_optimizer_id","uuid","YES",NULL
"sys1_inv_max_continuous_output","text","YES",NULL
"sys1_panel_count","integer","YES",NULL
"sys1_branch_string_1","text","YES",NULL
"sys1_branch_string_2","text","YES",NULL
"sys1_branch_string_3","text","YES",NULL
"sys1_branch_string_4","text","YES",NULL
"sys1_branch_string_5","text","YES",NULL
"sys1_branch_string_6","text","YES",NULL
"sys1_branch_string_7","text","YES",NULL
"sys1_branch_string_8","text","YES",NULL
"sys1_branch_string_9","text","YES",NULL
"sys1_branch_string_10","text","YES",NULL
"sys1_count_validation","text","YES",NULL
"sys1_backup_option","text","YES",NULL
"sys1_ess_existing","boolean","YES",NULL
"sys1_no_sms","boolean","YES",NULL
"sys1_ess_make","text","YES",NULL
"sys1_ess_model","text","YES",NULL
"sys1_ess_id","uuid","YES",NULL
"sys1_ess_main_breaker_rating","text","YES",NULL
"sys1_ess_upstream_breaker_rating","text","YES",NULL
"sys1_ess_upstream_breaker_location","text","YES",NULL
"sys1_battery1_existing","boolean","YES",NULL
"sys1_battery_1_qty","integer","YES",NULL
"sys1_battery_1_make","text","YES",NULL
"sys1_battery_1_model","text","YES",NULL
"sys1_battery1_id","uuid","YES",NULL
"sys1_battery2_existing","boolean","YES",NULL
"sys1_battery_2_qty","integer","YES",NULL
"sys1_battery_2_make","text","YES",NULL
"sys1_battery_2_model","text","YES",NULL
"sys1_battery2_id","uuid","YES",NULL
"sys1_combination_method","text","YES",NULL
"sys2_solarpanel_existing","boolean","YES",NULL
"sys2_solar_panel_qty","integer","YES",NULL
"sys2_solar_panel_make","text","YES",NULL
"sys2_solar_panel_model","text","YES",NULL
"sys2_solarpanel_id","uuid","YES",NULL
"sys2_micro_inverter_existing","boolean","YES",NULL
"sys2_micro_inverter_make","text","YES",NULL
"sys2_micro_inverter_model","text","YES",NULL
"sys2_micro_inverter_id","uuid","YES",NULL
"sys2_micro_inverter_qty","integer","YES",NULL
"sys2_combiner_existing","boolean","YES",NULL
"sys2_combiner_panel_make","text","YES",NULL
"sys2_combiner_panel_model","text","YES",NULL
"sys2_combinerpanel_id","uuid","YES",NULL
"sys2_optimizer_existing","boolean","YES",NULL
"sys2_optimizer_make","text","YES",NULL
"sys2_optimizer_model","text","YES",NULL
"sys2_optimizer_id","uuid","YES",NULL
"sys2_inv_max_continuous_output","text","YES",NULL
"sys2_panel_count","integer","YES",NULL
"sys2_branch_string_1","text","YES",NULL
"sys2_branch_string_2","text","YES",NULL
"sys2_branch_string_3","text","YES",NULL
"sys2_branch_string_4","text","YES",NULL
"sys2_branch_string_5","text","YES",NULL
"sys2_branch_string_6","text","YES",NULL
"sys2_branch_string_7","text","YES",NULL
"sys2_branch_string_8","text","YES",NULL
"sys2_branch_string_9","text","YES",NULL
"sys2_branch_string_10","text","YES",NULL
"sys2_count_validation","text","YES",NULL
"sys2_backup_option","text","YES",NULL
"sys2_ess_existing","boolean","YES",NULL
"sys2_no_sms","boolean","YES",NULL
"sys2_ess_make","text","YES",NULL
"sys2_ess_model","text","YES",NULL
"sys2_ess_id","uuid","YES",NULL
"sys2_ess_main_breaker_rating","text","YES",NULL
"sys2_ess_upstream_breaker_rating","text","YES",NULL
"sys2_ess_upstream_breaker_location","text","YES",NULL
"sys2_battery1_existing","boolean","YES",NULL
"sys2_battery_1_qty","integer","YES",NULL
"sys2_battery_1_make","text","YES",NULL
"sys2_battery_1_model","text","YES",NULL
"sys2_battery1_id","uuid","YES",NULL
"sys2_battery2_existing","boolean","YES",NULL
"sys2_battery_2_qty","integer","YES",NULL
"sys2_battery_2_make","text","YES",NULL
"sys2_battery_2_model","text","YES",NULL
"sys2_battery2_id","uuid","YES",NULL
"sys2_combination_method","text","YES",NULL
"sys3_solar_panel_existing","boolean","YES",NULL
"sys3_solar_panel_qty","integer","YES",NULL
"sys3_solar_panel_make","text","YES",NULL
"sys3_solar_panel_model","text","YES",NULL
"sys3_solarpanel_id","uuid","YES",NULL
"sys3_micro_inverter_existing","boolean","YES",NULL
"sys3_micro_inverter_make","text","YES",NULL
"sys3_micro_inverter_model","text","YES",NULL
"sys3_micro_inverter_id","uuid","YES",NULL
"sys3_micro_inverter_qty","integer","YES",NULL
"sys3_combiner_existing","boolean","YES",NULL
"sys3_combiner_panel_make","text","YES",NULL
"sys3_combiner_panel_model","text","YES",NULL
"sys3_combinerpanel_id","uuid","YES",NULL
"sys3_optimizer_existing","boolean","YES",NULL
"sys3_optimizer_make","text","YES",NULL
"sys3_optimizer_model","text","YES",NULL
"sys3_optimizer_id","uuid","YES",NULL
"sys3_inv_max_continuous_output","text","YES",NULL
"sys3_panel_count","integer","YES",NULL
"sys3_branch_string_1","text","YES",NULL
"sys3_branch_string_2","text","YES",NULL
"sys3_branch_string_3","text","YES",NULL
"sys3_branch_string_4","text","YES",NULL
"sys3_branch_string_5","text","YES",NULL
"sys3_branch_string_6","text","YES",NULL
"sys3_branch_string_7","text","YES",NULL
"sys3_branch_string_8","text","YES",NULL
"sys3_branch_string_9","text","YES",NULL
"sys3_branch_string_10","text","YES",NULL
"sys3_count_validation","text","YES",NULL
