action,confidence,id,uuid,equipment_type,current_manufacturer,current_model,new_manufacturer,new_model,duplicate_of_id,reason
DELETE,90.0,18,e3bd4088-1bda-4b41-8233-8e2914c54a79,MicroInverter,Enphase,IQ6-60-ACM-US,,,14,Duplicate of ID 14 (90.0% match)
DELETE,90.0,23,20a4748a-c3d4-46ec-90ff-429aecb4f4da,MicroInverter,Enphase,IQ7-60-ACM-US,,,22,Duplicate of ID 22 (90.0% match)
DELETE,90.0,37,1be3803f-a168-414d-84e3-1fd5391778e3,MicroInverter,Enphase,IQ7AS-66-5-US,,,22,Duplicate of ID 22 (90.0% match)
DELETE,90.0,73,2f89708a-5863-40b9-a8b5-2960ff79e5ad,MicroInverter,Enphase,IQ7XS-96-5-US,,,22,Duplicate of ID 22 (90.0% match)
DELETE,90.0,85,b6e0cb91-347e-44f2-b1fc-5db00a32cc3a,MicroInverter,Enphase,IQ8M-72-2-US,,,32,Duplicate of ID 32 (90.0% match)
DELETE,90.0,87,2688fb3e-93d6-4d85-8bd8-59ec5dad6439,MicroInverter,Enphase,IQ8A-72-M-US,,,32,Duplicate of ID 32 (90.0% match)
DELETE,90.0,535,3d736767-d3be-4da8-a522-9716a865da5e,Inverter,SMA,SB-7000US (208V),,,534,Duplicate of ID 534 (90.0% match)
DELETE,90.0,556,24e1a16d-3f53-425f-b517-dacfe288d865,Inverter,SMA,STP20000TL-US-10,,,553,Duplicate of ID 553 (90.0% match)
DELETE,90.0,557,7d4cca5f-7bf3-4e4b-9ea6-fea84d1b6568,Inverter,SMA,STP24000TL-US-10,,,553,Duplicate of ID 553 (90.0% match)
DELETE,90.0,559,ed71f613-0d68-48b9-86eb-9b6d5a5af02d,Inverter,SMA,STP30000TL-US-10,,,553,Duplicate of ID 553 (90.0% match)
DELETE,90.0,563,dfb1e834-2c01-4fbe-bb71-eacd6decb75e,SMS,SMA,Sunny Boy 7.7-US,,,558,Duplicate of ID 558 (90.0% match)
DELETE,90.0,581,54bac0b7-4f02-4724-9fb9-64842c792cf7,Inverter,SolarEdge,SE3800A-US,,,580,Duplicate of ID 580 (90.0% match)
DELETE,90.0,584,d036e391-4596-4143-b3f2-1800d476f8df,Inverter,SolarEdge,SE3300A-US,,,580,Duplicate of ID 580 (90.0% match)
DELETE,90.0,597,95164f46-177b-48ab-81b3-d813141241af,Inverter,SolarEdge,SE7600H-US,,,580,Duplicate of ID 580 (90.0% match)
DELETE,90.0,675,6cd48e13-d9c7-4360-9e26-7e32fc250bb0,Inverter,Yaskawa Solectria Solar,XGI 1500-166/166,,,671,Duplicate of ID 671 (90.0% match)
DELETE,90.0,929,849f806b-de23-4146-a01d-08d782d09ffc,Solar Panel,Andalay Solar,LW-235-1-AC0-D-B,,,925,Duplicate of ID 925 (90.0% match)
DELETE,90.0,930,fd1fe05f-5d1f-453d-a6e4-271e5016892a,Solar Panel,Andalay Solar,LW-235-1-AC2-D-B,,,925,Duplicate of ID 925 (90.0% match)
DELETE,90.0,931,460f805c-9bfa-4e8d-adc1-7874632580e0,Solar Panel,Andalay Solar,LW-235-1-AC3-B-B,,,925,Duplicate of ID 925 (90.0% match)
DELETE,90.0,933,13d614f9-9998-41f7-a31e-0debd159f676,Solar Panel,Andalay Solar,LW-240-1-AC3-B-B,,,925,Duplicate of ID 925 (90.0% match)
DELETE,90.0,934,1cb2b3f7-7bbe-414c-97c6-b1d205b27b7f,Solar Panel,Andalay Solar,LW-240-1-AC0-D-B,,,925,Duplicate of ID 925 (90.0% match)
DELETE,90.0,935,a8f34bc7-c6bd-4f95-ab78-e9d9b5a58262,Solar Panel,Andalay Solar,LW-240-1-AC2-D-B,,,925,Duplicate of ID 925 (90.0% match)
DELETE,90.0,951,e2bba8e6-865d-4c2e-9534-c7c8fecf9294,Solar Panel,Anji Dasol,DS-A4-220,,,950,Duplicate of ID 950 (90.0% match)
DELETE,90.0,955,c08fd7cf-1ea0-4f2e-943f-18b19378cf04,Solar Panel,Anji Dasol,DS-A4-230,,,950,Duplicate of ID 950 (90.0% match)
DELETE,90.0,1719,6bde174e-565e-4b2a-a9d3-1f4eaceb3b59,Solar Panel,AXITEC,AC-310MH/120S,,,1714,Duplicate of ID 1714 (90.0% match)
DELETE,90.0,1723,fc99b4df-771c-4f39-b283-3c5386512667,Solar Panel,AXITEC,AC-315MH/120S,,,1714,Duplicate of ID 1714 (90.0% match)
DELETE,90.0,1732,c2c4760b-d1ea-4a60-8ae0-e5b2cb286254,Solar Panel,AXITEC,AC-320MH/120S,,,1714,Duplicate of ID 1714 (90.0% match)
DELETE,90.0,1735,a273d134-6a2f-45c6-94f1-d75fb84bb570,Solar Panel,AXITEC,AC-325MH/120S,,,1714,Duplicate of ID 1714 (90.0% match)
DELETE,90.0,1741,e4e6a538-1d13-4e94-af8a-403cf9c7fdba,Solar Panel,AXITEC,AC-330MH/120S,,,1714,Duplicate of ID 1714 (90.0% match)
DELETE,90.0,1751,954c1a9d-8df4-4581-bc43-263129932905,Solar Panel,AXITEC,AC-335MH/120S,,,1714,Duplicate of ID 1714 (90.0% match)
